Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,119.309998,120.559998,119.070000,120.010002,109.726593,722700
2018-06-12,120.580002,120.790001,119.989998,120.190002,109.891159,755500
2018-06-13,120.980003,121.379997,120.080002,120.500000,110.174599,460100
2018-06-14,120.660004,121.949997,120.540001,121.379997,110.979187,536100
2018-06-15,121.019997,121.199997,120.440002,121.180000,110.796333,544100
2018-06-18,118.459999,119.519997,118.440002,119.470001,109.232857,1986000
2018-06-19,116.720001,118.730003,116.720001,118.510002,108.355125,1515600
2018-06-20,118.739998,119.239998,118.129997,118.589996,108.428261,855200
2018-06-21,119.040001,119.040001,117.540001,117.940002,107.833961,644500
2018-06-22,117.660004,118.269997,116.169998,117.830002,107.733391,1446000
2018-06-25,116.339996,116.570000,115.360001,116.269997,106.307068,1453400
2018-06-26,115.610001,115.870003,114.739998,115.209999,105.337883,1077300
2018-06-27,116.010002,116.660004,114.550003,114.839996,104.999588,521200
2018-06-28,112.260002,113.489998,112.199997,113.209999,103.509270,1037500
2018-06-29,115.019997,115.820000,115.000000,115.660004,105.749336,613000
2018-07-02,113.589996,115.389999,113.529999,115.320000,105.438461,521700
2018-07-03,115.949997,115.949997,114.989998,115.180000,105.310463,1279300
2018-07-05,115.629997,116.570000,115.269997,116.449997,106.471642,896400
2018-07-06,116.480003,117.190002,116.239998,117.129997,107.093369,852600
2018-07-09,119.449997,119.480003,118.550003,119.379997,109.150574,808800
2018-07-10,119.260002,120.129997,119.260002,119.669998,109.415718,512000
2018-07-11,117.620003,118.459999,117.480003,117.820000,107.724251,654000
2018-07-12,118.110001,119.610001,118.110001,119.440002,109.205437,755400
2018-07-13,119.480003,119.980003,119.059998,119.910004,109.635162,804200
2018-07-16,120.070000,120.800003,120.059998,120.570000,110.238602,1450800
2018-07-17,119.720001,121.910004,119.680000,121.639999,111.216919,741700
2018-07-18,121.650002,122.739998,121.269997,121.959999,111.509491,1738900
2018-07-19,118.080002,118.769997,116.879997,117.410004,107.349380,1390500
2018-07-20,117.050003,117.320000,116.180000,116.400002,106.425926,1451300
2018-07-23,117.139999,117.139999,116.330002,116.809998,106.800789,715800
2018-07-24,118.599998,118.680000,116.900002,117.379997,107.321953,738400
2018-07-25,118.110001,119.480003,117.489998,119.269997,109.049995,645300
2018-07-26,119.570000,120.510002,119.370003,119.699997,109.443153,952700
2018-07-27,120.940002,120.940002,118.930000,119.050003,108.848854,794200
2018-07-30,119.019997,119.080002,116.730003,116.769997,106.764214,708400
2018-07-31,116.889999,117.110001,115.790001,116.040001,106.096779,1363500
