Date,Open,High,Low,Close,Adj Close,Volume
2018-10-22,43.397499,43.415001,42.977501,43.165001,38.901615,5971600
2018-10-23,42.230000,43.610001,42.230000,42.657501,38.444221,8898800
2018-10-24,42.834999,44.207500,42.680000,43.900002,39.564014,8558800
2018-10-25,43.712502,43.805000,42.967499,43.299999,39.023270,8854400
2018-10-26,43.525002,43.702499,42.177502,42.472500,38.277500,8519600
2018-10-29,42.567501,43.242500,42.520000,43.195000,38.928635,6566800
2018-10-30,43.430000,43.634998,42.830002,43.387501,39.102127,7572800
2018-10-31,43.200001,43.509998,42.757500,43.125000,38.865562,9051600
2018-11-01,43.380001,43.380001,42.332500,42.617500,38.408180,9389200
2018-11-02,42.770000,42.945000,41.687500,42.037498,37.885464,11806400
2018-11-05,42.047501,42.895000,42.042500,42.677502,38.462257,8274000
2018-11-06,42.639999,42.897499,42.375000,42.865002,38.631229,5963600
2018-11-07,43.139999,43.467499,42.927502,43.384998,39.099873,6530000
2018-11-08,43.384998,43.505001,42.912498,43.490002,39.194504,6676400
2018-11-09,43.580002,44.259998,43.404999,44.139999,39.780300,8160400
2018-11-12,44.047501,44.997501,43.902500,44.622501,40.215145,8538800
2018-11-13,44.759998,44.867500,44.325001,44.665001,40.253452,7297600
2018-11-14,44.419998,44.562500,43.790001,44.205002,39.838890,12378000
2018-11-15,44.067501,44.797501,43.665001,44.794998,40.370605,10935600
2018-11-16,45.044998,45.150002,44.580002,45.097500,40.643234,7948000
2018-11-19,45.040001,45.517502,44.794998,45.502499,41.008228,7018400
2018-11-20,45.654999,45.912498,44.637501,44.692501,40.278240,9752800
2018-11-21,44.625000,44.625000,43.974998,44.044998,39.694679,5978800
2018-11-23,44.044998,44.450001,43.825001,44.332500,39.953789,4360800
2018-11-26,44.355000,44.492500,43.922501,44.257500,39.886192,7455200
2018-11-27,44.392502,44.547501,44.049999,44.500000,40.104759,9084800
2018-11-28,44.639999,44.807499,44.302502,44.512501,40.116013,7868400
2018-11-29,44.270000,44.380001,43.717499,44.279999,40.156818,6867200
2018-11-30,44.419998,45.507500,44.305000,45.427502,41.197475,15807200
2018-12-03,45.102501,45.625000,44.862499,45.622501,41.374317,9724800
2018-12-04,45.625000,46.042500,45.400002,45.542500,41.301769,10024800
2018-12-06,45.605000,45.755001,44.669998,45.665001,41.412857,11354400
2018-12-07,45.494999,46.049999,45.209999,45.715000,41.458202,10121600
2018-12-10,45.639999,45.845001,44.919998,45.652500,41.401527,10441600
2018-12-11,45.580002,45.959999,45.292500,45.744999,41.485405,12055200
2018-12-12,45.744999,45.927502,45.305000,45.327499,41.106789,11912400
2018-12-13,45.334999,45.799999,45.334999,45.549999,41.308575,12916400
2018-12-14,45.455002,45.612499,44.974998,45.310001,41.090919,9227600
2018-12-17,45.590000,45.590000,43.717499,43.912498,39.823536,13147600
2018-12-18,44.062500,44.455002,43.855000,44.000000,39.902893,11764000
2018-12-19,44.125000,44.294998,43.410000,43.630001,39.567348,13437600
2018-12-20,43.625000,44.137501,43.097500,43.727501,39.655773,13112400
2018-12-21,43.599998,44.639999,43.310001,43.527500,39.474400,24148400
2018-12-24,43.612499,43.845001,41.730000,42.020000,38.107265,6630000
2018-12-26,42.017502,42.592499,41.195000,42.584999,38.619659,8393600
2018-12-27,42.634998,43.040001,41.987499,43.040001,39.032295,9961600
2018-12-28,43.150002,43.592499,42.904999,43.180000,39.159248,6924000
2018-12-31,43.252499,43.507500,42.820000,43.455002,39.408642,6417600
2019-01-02,43.169998,43.325001,42.252499,42.457500,38.504032,10549600
2019-01-03,42.477501,42.790001,42.167500,42.352501,38.408802,9260800
2019-01-04,42.287498,43.147499,42.165001,43.132500,39.116180,10848800
2019-01-07,42.912498,43.235001,42.625000,43.070000,39.059483,9478000
2019-01-08,43.037498,43.447498,42.892502,43.384998,39.345169,10599600
2019-01-09,43.389999,43.500000,43.012501,43.197498,39.175125,7047600
2019-01-10,43.325001,43.904999,43.137501,43.847500,39.764595,11384800
2019-01-11,43.785000,44.035000,43.412498,43.927502,39.837143,8860000
2019-01-14,43.654999,43.654999,42.337502,42.807499,38.821434,15355600
2019-01-15,42.847500,43.952499,42.687500,43.680000,39.612698,9261200
2019-01-16,43.505001,43.727501,43.207500,43.669998,39.603622,7059200
2019-01-17,43.782501,43.980000,43.610001,43.872501,39.787277,8200800
2019-01-18,44.099998,44.152500,43.777500,44.022499,39.923302,7414400
