Date,Open,High,Low,Close,Adj Close,Volume
2018-06-11,86.309998,86.779999,85.809998,85.860001,78.693542,3506900
2018-06-12,85.760002,86.019997,85.449997,85.489998,78.354424,3016900
2018-06-13,85.760002,86.379997,85.599998,85.720001,78.565239,3052100
2018-06-14,85.669998,86.459999,85.169998,86.349998,79.142639,3115100
2018-06-15,86.129997,87.269997,86.099998,86.879997,79.628403,5575200
2018-06-18,85.980003,86.150002,85.010002,86.110001,78.922684,2903900
2018-06-19,85.889999,86.870003,85.669998,86.820000,79.573418,3044500
2018-06-20,86.739998,87.160004,86.199997,86.279999,79.078484,4675500
2018-06-21,85.820000,86.279999,85.190002,86.070000,78.886024,2856400
2018-06-22,86.019997,86.400002,85.809998,85.919998,78.748543,3769500
2018-06-25,86.000000,86.610001,85.120003,85.769997,78.611061,3414100
2018-06-26,85.540001,86.000000,84.959999,85.110001,78.006142,2840600
2018-06-27,84.910004,85.599998,84.639999,84.669998,77.602859,3005400
2018-06-28,84.849998,85.959999,84.809998,85.489998,78.354424,2564600
2018-06-29,85.839996,86.099998,85.129997,85.330002,78.207764,2964000
2018-07-02,85.059998,85.930000,84.709999,85.860001,78.693542,2347000
2018-07-03,85.809998,87.019997,85.809998,86.510002,79.289299,2163500
2018-07-05,86.910004,87.190002,86.129997,86.559998,79.335121,2675500
2018-07-06,86.830002,87.709999,86.820000,87.389999,80.095840,2290500
2018-07-09,87.599998,88.330002,87.519997,87.870003,80.535789,2718300
2018-07-10,88.080002,88.230003,87.669998,88.050003,80.700768,2227200
2018-07-11,87.769997,88.070000,87.199997,87.559998,80.251663,2449500
2018-07-12,88.099998,88.989998,87.919998,88.910004,81.488976,2604500
2018-07-13,88.830002,89.870003,88.540001,89.709999,82.222206,3335000
2018-07-16,89.629997,89.839996,88.839996,89.070000,81.635628,3175200
2018-07-17,89.360001,89.970001,89.339996,89.570000,82.093887,2179400
2018-07-18,89.599998,90.129997,89.070000,90.029999,82.515495,3021400
2018-07-19,89.830002,89.980003,88.870003,89.430000,81.965584,3171000
2018-07-20,89.019997,89.370003,88.260002,88.470001,81.085716,3829800
2018-07-23,88.300003,89.160004,88.169998,88.879997,81.461472,3145300
2018-07-24,91.059998,93.760002,90.000000,93.349998,85.558365,9910000
2018-07-25,93.160004,96.650002,93.029999,96.430000,88.381310,8476800
2018-07-26,96.639999,96.959999,94.830002,95.180000,87.235619,4826100
2018-07-27,95.650002,96.959999,95.019997,96.599998,88.537117,3975500
2018-07-30,96.379997,98.120003,96.250000,98.019997,89.838585,5356000
2018-07-31,98.250000,99.199997,97.529999,98.809998,90.562660,4957800
2018-08-01,98.739998,99.349998,98.440002,98.699997,90.461838,4971800
2018-08-02,97.949997,100.389999,97.839996,99.470001,91.167580,4321000
2018-08-03,99.180000,100.690002,98.879997,100.580002,92.184914,4572100
2018-08-06,100.400002,102.589996,100.220001,102.000000,93.486374,5090900
2018-08-07,101.790001,103.809998,101.680000,101.940002,93.431412,5095100
